Vendor, Category, Item, Item Description, Price, Origin, Destination, Rating, Remarks
boomers,Drugs/Cannabis/Concentrates,indica rso --- dabs --- honey oil,1g of rso extracted using iso method  The advantage of iso over butane extraction is that some chemicals from the butane can remain unless purged under pressure for many hours  whereas isopropol al ...,0.489342994,UK,,4.98/5,
brownjames,Drugs/Cannabis/Concentrates,1 Gram of East Coast Sour Diesel Shatter (Nug Run),For sale is some A+ medical grade wax made from East Coast Sour Diesel nugs. It comes directly from a medical dispensary and has been tested to contain no residual solvents. Sour Diesel is a sativa w ...,0.08518177,USA,Worldwide,5.00/5,
BudBuddy,Drugs/Cannabis/Concentrates,The Church Iso Hash 5 g,Tillverkat på ca 100 gram trim och småbuds. Skickas vakuumförpackat i vadderat kuvert.,0.34924528,Sweden,,~5/5,
buddercup,Drugs/Cannabis/Concentrates,28g 1oz Bubba Kush Glass Shatter Concentrate Wax TOP QUALITY (CLOSED LOOP / VAC PURGED / NUG RUN,Buddercup is back and has returned to a loyal following of fans with better concentrates than ever. Everything you heard is true -- you are about to order the best quality concentrates on the darknet ...,3.959378849,Canada,Canada,4.98/5,Average price may be skewed outliar > .5 BTC found
BudMasterGeneral,Drugs/Cannabis/Concentrates,WOW vape CBD ONLY! cartridge  @$49,WOWvape cartridge CBD ONLY !!! ORGANIC 510 thread standard CO2 Subcritical Industrial Hemp Oil Solvent Free! Organic! Steep Hill SafeConcentrate CERTIFIED!  Wow vape prefilled cartridges are  ...,0.186902085,USA,USA,4.79/5,
BudsNRoses,Drugs/Cannabis/Concentrates,7 Grams Premium Wax,This wax is made from Premium quality OG Kush and is vacuum-purged multiple times. This wax is extremely tasty and smooth on the exhale while delivering a punch that your sure to remember. We take jo ...,1.026294381,USA,,4.965/5,
budwax,Drugs/Cannabis/Concentrates,28g Indica BHO Shatter TOP SHELF 20/g,Top Shelf Shatter  Ships priority in a box FREE SHIPPING,2.062598276,USA,USA,~5/5,
Cafe_Deluxe,Drugs/Cannabis/Concentrates,1G Of Medical Grade CBD Gold Oil - Co2 Extracted - 240MG CBD,This CBD oil is the best in the industry  extracted from CBD rich Hemp  this oil consistency is slippy like as it has a 49% fatty acid content  perfect for sublingual use  sublingual ( under the tong ...,0.190704482,UK,,4.966/5,
CaliforniaGreenCross,Drugs/Cannabis/Concentrates,1g + SHATTER + HIGHEST QUALITY + 90% THC,25% OFF SALE ON ALL SHATTER LISTINGS + 1g SALE PRICE: $60 - OLD PRICE: $81 + $21 SAVINGS FOR THIS ITEM   + CaliforniaGreenCross + PROFESSIONAL + VERIFIED + TRUSTED VENDOR + 100% SATISFACTION GUARA ...,150.2763808,USA,USA,4.993/5,Average price may be skewed outliar > .5 BTC found
CannaKing,Drugs/Cannabis/Concentrates,RECHARGEABLE VAPE PEN & CARTRIDGE SET,"For those who have tried our disposable CO2 pens  these rechargeable pens are X5 stronger and hit harder!!!  Comes with one (1) ""FOO DOG"" oil cartridge. Made from real FOO DOG nugs!  The battery  ...",0.268410317,USA,WORLDWIDE,4.94/5,
